Major Heading,Activity Code,MET Value,Activity Description
Bicycling,1060,16.8,"Bicycling, >20 mph, racing, not drafting"""
Bicycling,1248,16.3,"Bicycling, stationary, >325 watts, very vigorous"""
Bicycling,1004,16,"Bicycling, mountain, competitive racing"""
Bicycling,1003,14,"Bicycling, mountain, uphill, vigorous"""
Bicycling,1244,13.8,"Bicycling, stationary, 270-305 watts, very vigorous"""
Bicycling,1240,12.5,"Bicycling, stationary, 230-250 watts, very vigorous"""
Bicycling,1050,12,"Bicycling, 16-19 mph, racing/not drafting or >19 mph drafting, very fast, racing general"""
Bicycling,1254,11,"Bicycling, concentric only, 200 W"""
Bicycling,1236,10.8,"Bicycling, stationary, 200-229 watts, vigorous"""
Bicycling,1232,10.3,"Bicycling, stationary, 151-199 watts"""
Bicycling,1040,10,"Bicycling, 14-15.9 mph, racing or leisure, fast, vigorous effort"""
Bicycling,1017,9,"Bicycling, self-selected vigorous pace"""
Bicycling,1066,9,"Bicycling, 12 mph, standing, hands on brake hoods, 60 rpm"""
Bicycling,1270,9,"Bicycling, stationary, RPM/Spin bike class"""
Bicycling,1290,8.8,"Bicycling, interactive virtual cycling, indoor cycle ergometer"""
Bicycling,1305,8.8,"Bicycling, high intensity interval training"""
Bicycling,1008,8.5,"Bicycling, BMX"""
Bicycling,1009,8.5,"Bicycling, mountain, general"""
Bicycling,1065,8.5,"Bicycling, 12 mph, seated, hands on brake hoods or bar drops, 80 rpm"""
Bicycling,1030,8,"Bicycling, 12-13.9 mph, leisure, moderate effort"""
Bicycling,1228,8,"Bicycling, stationary, 126-150 watts"""
Bicycling,1014,7,"Bicycling, general"""
Bicycling,1016,7,"Bicycling, self-selected moderate pace"""
Bicycling,1011,6.8,"Bicycling, to/from work, self selected pace"""
Bicycling,1020,6.8,"Bicycling, 10-11.9 mph, leisure, slow, light effort"""
Bicycling,1080,6.8,"E-bike (electrically assisted) without electronic support"""
Bicycling,1200,6.8,"Bicycling, stationary, general"""
Bicycling,1224,6.8,"Bicycling, stationary, 101-125 watts"""
Bicycling,1084,6,"E-bike (electrically assisted) with light electronic support"""
Bicycling,1220,6,"Bicycling, stationary, 90-100 watts, moderate to vigorous"""
Bicycling,1013,5.8,"Bicycling, on dirt or farm road, moderate pace"""
Bicycling,1019,5.8,"Bicycling, leisure, 9.4 mph"""
Bicycling,1218,5.8,"Bicycling, stationary, 70-80 watts"""
Bicycling,1252,5.5,"Bicycling, concentric only, 100 W"""
Bicycling,1070,5,"Unicycling"""
Bicycling,1216,5,"Bicycling, stationary, 60 watts, light to moderate effort"""
Bicycling,1015,4.3,"Bicycling, self-selected easy pace"""
Bicycling,1088,4,"E-bike (electrically assisted) with high electronic support"""
Bicycling,1214,4,"Bicycling, stationary, 50 watts, light effort"""
Bicycling,1018,3.5,"Bicycling, leisure 5.5 mph"""
Bicycling,1210,3.5,"Bicycling, stationary, 25-30 watts, very light to light effort"""
Conditioning Exercise,2084,18,"Ski ergometer, cross country, double poling, fast to maximum speed"""
Conditioning Exercise,2074,14,"Rowing, stationary, ≥ 200 watts, very vigorous effort"""
Conditioning Exercise,2288,13,"Blackbox Immersive virtual reality exergaming system, vigorous intensity"""
Conditioning Exercise,2068,11,"Rope skipping exercise, general"""
Conditioning Exercise,2073,11,"Rowing, stationary, 150 to 199 watts, vigorous effort"""
Conditioning Exercise,2078,11,"Shuttle running, forward/backward/lateral"""
Conditioning Exercise,2214,11,"High intensity interval exercise, burpees, mountain climbers, squat jumps, Tabata, vigorous effort"""
Conditioning Exercise,2082,10.5,"Ski ergometer, cross country, double poling, slow to moderate speed"""
Conditioning Exercise,2085,10.5,"Slide board exercise, general"""
Conditioning Exercise,2007,10,"Aerobic dance wearing 10-15 lb weights"""
Conditioning Exercise,2058,9.8,"Kettle bell swings"""
Conditioning Exercise,2114,9.5,"Therapeutic exercise ball, Fitball exercise, high intensity"""
Conditioning Exercise,2065,9.3,"Stair treadmill ergometer, general"""
Conditioning Exercise,2284,9.3,"ExerCube, workout series"""
Conditioning Exercise,2003,9,"Aerobic, step, with 10 – 12 inch step"""
Conditioning Exercise,2049,9,"Elliptical trainer, vigorous effort"""
Conditioning Exercise,2069,9,"Jumping rope, Digi-Jump Maching, 120 jumps/minute"""
Conditioning Exercise,2240,9,"Impulse Training System, Inertial Exercise Trainer"""
Conditioning Exercise,2107,8.5,"Pound, combination of Pilates and body movements with drumming"""
Conditioning Exercise,2006,8,"Aerobic dance, high impact, vigorous effort"""
Conditioning Exercise,2153,8,"Yoga, Hatha, high intensity"""
Conditioning Exercise,2280,7.9,"Virtual Reality Fitness, Supernatural™ “Flow”, “Boxing"""" vigorous intensity"""
Conditioning Exercise,2004,7.8,"Bench step class, general"""
Conditioning Exercise,2062,7.8,"Health club exercise, conditioning classes"""
Conditioning Exercise,2020,7.5,"Calisthenics (e.g., pushups, sit ups, pull-ups, jumping jacks, burpees, battling ropes), vigorous effort"""
Conditioning Exercise,2040,7.5,"Circuit training, including kettlebells, some aerobic movement with minimal rest, general, vigorous intensity"""
Conditioning Exercise,2072,7.5,"Rowing, stationary, 100 to 149 watts, vigorous effort"""
Conditioning Exercise,2000,7.3,"Aerobic, general"""
Conditioning Exercise,2002,7.3,"Aerobic, step, with 6 – 8 inch step"""
Conditioning Exercise,2070,7.3,"Rowing, stationary ergometer, general, vigorous effort"""
Conditioning Exercise,2210,7,"High intensity interval exercise, moderate effort"""
Conditioning Exercise,2080,6.8,"Ski machine, general"""
Conditioning Exercise,2110,6.8,"Teaching exercise classes (e.g., aerobic, water)"""
Conditioning Exercise,2205,6.8,"Native New Zealander PA, general, vigorous effort"""
Conditioning Exercise,2057,6.5,"Body weight resistance exercises (e.g., squat, lunge, push-up, crunch), high intensity"""
Conditioning Exercise,2310,6.5,"Zumba, group class"""
Conditioning Exercise,2032,6,"Circuit training, body weight exercises"""
Conditioning Exercise,2090,6,"Slimnastics, jazzercise"""
Conditioning Exercise,2145,6,"Video, exercise workouts, TV conditioning programs (e.g., cardio-resistance training), vigorous"""
Conditioning Exercise,2055,5.8,"Resistance Training, circuit, reciprocol supersets, peripheral hear action training"""
Conditioning Exercise,2230,5.8,"Hooping (formerly known as hula® hooping)"""
Conditioning Exercise,2001,5.5,"Aerobic, step, with 4-inch step"""
Conditioning Exercise,2060,5.5,"Health club exercise, general (Taylor Code 160)"""
Conditioning Exercise,2315,5.5,"Zumba, home video"""
Conditioning Exercise,2120,5.3,"Water aerobics, water calisthenics, water exercise"""
Conditioning Exercise,2200,5.3,"Native New Zealander PA, (e.g., Haka Powhiri, Poi, Moteatea, etc.), general moderate effort"""
Conditioning Exercise,2008,5,"Army type obstacle course exercise, boot camp training program"""
Conditioning Exercise,2035,5,"Circuit training, moderate effort"""
Conditioning Exercise,2048,5,"Elliptical trainer, moderate effort"""
Conditioning Exercise,2052,5,"Resistance (weight) training, squats, deadlift, slow or explosive effort"""
Conditioning Exercise,2061,5,"Health club exercise classes general, gym/weight training combined in one visit"""
Conditioning Exercise,2071,5,"Rowing, stationary ergometer, general, <100 watts, moderate effort"""
Conditioning Exercise,2005,4.8,"Aerobic dance, low impact, moderate effort"""
Conditioning Exercise,2108,4.5,"Pole dancing, exercise class"""
Conditioning Exercise,2119,4.3,"Upper body exercise, stationary bicycle - Airdyne (arms only) 40 rpm, moderate intensity"""
Conditioning Exercise,2143,4,"Video, exercise workouts, TV conditioning programs (e.g., cardio-resistance training), moderate"""
Conditioning Exercise,2160,4,"Yoga, Power"""
Conditioning Exercise,2344,4,"Sit to stand exercise, 18-24 times/min"""
Conditioning Exercise,2022,3.8,"Calisthenics (e.g., pushups, sit ups, pull-ups, lunges), moderate effort"""
Conditioning Exercise,2064,3.8,"Home exercise, general"""
Conditioning Exercise,2030,3.5,"Calisthenics, light or moderate effort, general (e.g., back exercises), going up & down from floor (Taylor Code 150)"""
Conditioning Exercise,2034,3.5,"Circuit training, light effort"""
Conditioning Exercise,2045,3.5,"Curves™ exercise routines in women"""
Conditioning Exercise,2054,3.5,"Resistance (weight) training, multiple exercises, 8-15 reps at varied resistance"""
Conditioning Exercise,2118,3.5,"Arm Ergometer, hand bike, 45W"""
Conditioning Exercise,2180,3.5,"Yoga, Surya Namaskar"""
Conditioning Exercise,2056,3,"Body weight resistance exercises (e.g., squat, lunge, push-up, crunch), general"""
Conditioning Exercise,2155,3,"Yoga, Hot"""
Conditioning Exercise,2300,3,"Wand exercise, Life-Build-Line"""
Dancing,3038,11.3,"Ballroom dancing, competitive, general"""
Dancing,3080,10.3,"Musical Theater, Singing/dancing"""
Dancing,3031,9.8,"Nightclub or folk dancing, vigorous effort (e.g., nightclub, disco, folk, line dancing, Irish step dancing, polka, contra)"""
Dancing,3087,8.8,"Polynesian dance, Samoan slap, Tahitian"""
Dancing,3075,8.5,"Flamenco dance"""
Dancing,3029,7.3,"Chinese square dance, aerobic dance"""
Dancing,3086,7,"Polynesian dance, Hawaiian hula fast, Samoan sasa, Fijian style fast, Filipino Tinikling"""
Dancing,3012,6.8,"Ballet, modern, or jazz, performance, vigorous effort"""
Dancing,3011,6.3,"Ballet exercises (plie, tendus, jetes, rond de Jambes, fondus, grand battement, grand adage, sautes, temp Leve's)"""
Dancing,3091,6.3,"Salsa dancing, to a video"""
Dancing,3005,6,"Afro-Cuban salsa (Cuban cha-cha-cha, mambo, Afro rumba, contratiempo son steps, orisha/santo movements)"""
Dancing,3042,6,"Ballroom Dance, Recreational (Waltz, Foxtrot, Cha-cha, Swing)"""
Dancing,3085,5.8,"Polynesian dance, Hawaiian hula slow, Maori haka, Tongan"""
Dancing,3028,5.5,"Chinese square dance, Ballet & Tibetan dance"""
Dancing,3030,5.5,"Ballroom dancing, fast (Taylor Code 125)"""
Dancing,3050,5.5,"Anishinaabe Jingle dancing, brisk pace, other traditional American Indian dancing performed by women, moderate effort"""
Dancing,3010,5,"Ballet, modern, or jazz general, rehearsal or class"""
Dancing,3033,5,"Folk dancing, moderate effort"""
Dancing,3014,4.8,"Tap"""
Dancing,3090,4.8,"Salsa Dancing, with partner"""
Dancing,3025,4.5,"Ethnic or cultural dancing (e.g. Greek, Middle Eastern, hula, salsa, merengue, bamba y plena, flamenco, belly, and swing)"""
Dancing,3078,4.5,"Jazz dancing, general"""
Dancing,3072,4.3,"Contemporary dancing, nightclub"""
Dancing,3070,3.8,"Contemporary dancing, general"""
Dancing,3040,3,"Ballroom, slow, examples: waltz, foxtrot, slow dancing, samba tango, rumba, 19th century dance, mambo, cha cha"""
Running,12135,23,"Running, 14 mph (4.3 min/mile)"""
Running,12134,19.8,"Running, 13 mph (4.6 min/mile)"""
Running,12186,19.3,"Running, on track, 2000-3000m, competitive"""
Running,12132,18.5,"Running, 12 mph (5.0 min/mile)"""
Running,12184,18,"Running, on track, 500-1500m, competitive"""
Running,12325,17.5,"Running uphill, 5.0 to 5.9 mph, 15% incline"""
Running,12130,16.8,"Running, 11 mph (5.5 min/mile)"""
Running,12416,16.8,"Running curved treadmill, 9.0 to 9.9 mph"""
Running,12345,16.3,"Running uphill, >1.6mph, 10-30% incline"""
Running,12350,16,"Running, hilly terrain, ±100m change in elevation"""
Running,12265,15.5,"Running uphill, 7.0 mph, 5% incline"""
Running,12170,15,"Running, stairs, up"""
Running,12115,14.8,"Running, 9.3 to 9.6 mph"""
Running,12120,14.8,"Running, 10 mph (6 min/mile)"""
Running,12343,14.8,"Running uphill, 1.4 to 1.59 mph, 30% incline"""
Running,12414,14,"Running curved treadmill, 8.0 to 8.9 mph"""
Running,12361,13.8,"Running downhill, 8.0 to 10.5 mph, -3% to -9%"""
Running,12341,13.5,"Running uphill, 1.2 to 1.39 mph, 30-40% incline"""
Running,12565,13.5,"Running, barefoot, 8.0-8.9 mph"""
Running,12200,13.3,"Running, marathon"""
Running,12260,13.3,"Running uphill, 6.0 mph, 5% incline"""
Running,12110,13,"Running, 9 mph (6.5 min/mile)"""
Running,12100,12.5,"Running, 8.6 mph (7 min/mile)"""
Running,12090,12,"Running, 8 mph (7.5 min/mile)"""
Running,12412,12,"Running curved treadmill, 7.0 to 7.9 mph"""
Running,12514,12,"Running, 8.0 - 8.9 mph, 1.0 to 3.0 kg backpack"""
Running,12560,12,"Running, barefoot, 6.0-7.9 mph"""
Running,12080,11.8,"Running, 7.5 mph (8 min/mile)"""
Running,12339,11.8,"Running uphill, 1.0 to 1.19 mph, 30% incline"""
Running,12595,11.5,"Running, jogging stroller, outdoors, 6 mph"""
Running,12600,11.5,"Skipping, 5.5-6.0 mph"""
Running,12070,11,"Running, 7 mph (8.5 min/mile)"""
Running,12410,11,"Running curved treadmill, 5.0 to 5.9 mph"""
Running,12060,10.5,"Running, 6.7 mph (9 min/mile)"""
Running,12145,10.5,"Running, self-selected pace"""
Running,12255,10.3,"Running uphill, 4.5mph, 5% incline"""
Running,12337,10.3,"Running uphill, 0.8 to 0.99 mph, 30% incline"""
Running,12180,10,"Running, on a track, team practice"""
Running,12593,10,"Running, jogging stroller, outdoors, 5 mph"""
Running,12512,9.8,"Running, 7.0 - 7.9 mph, 1.0 to 3.0 kg backpack"""
Running,12510,9.5,"Running, 6.0 - 6.9 mph, 1.0 to 3.0 kg backpack"""
Running,12050,9.3,"Running, 6-6.3 mph (10 min/mile)"""
Running,12140,9.3,"Running, cross country"""
Running,12358,9.3,"Running downhill, 6.0 to 7.9 mph, -3% to -9%"""
Running,12045,9,"Running, 5.5 -5.8 mph"""
Running,12355,9,"Running downhill, 7.0 to 8.9 mph, -10% to -15%"""
Running,12588,9,"Running, jogging stroller, indoors, 6 mph"""
Running,12335,8.8,"Running uphill, 0.6 to 0.79 mph, 30% incline"""
Running,12030,8.5,"Running, 5.0 to 5.2 mph (12 min/mile)"""
Running,12508,8.5,"Running, 5.0 - 5.9 mph, 1.0 to 3.0 kg backpack"""
Running,12150,8,"Running (Taylor Code 200)"""
Running,12190,8,"Running, training, pushing a wheelchair or baby carrier"""
Running,12585,8,"Running, jogging stroller, indoors, 5 mph"""
Running,12029,7.8,"Running 4.3 to 4.8 mph"""
Running,12555,7.8,"Running, barefoot, 3.5-5.9 mph"""
Running,12020,7.5,"Jogging, general, self-selected pace"""
Running,12353,7.5,"Running downhill, 6.0 to 6.9 mph, -10% to -15%"""
Running,12028,6.5,"Running, 4 to 4.2 mph (13 min/mile)"""
Running,12408,6.5,"Running/jogging, curved treadmill, 4.0 to 4.9 mph"""
Running,12010,6,"Jog/walk combination (jogging component of less than 10 minutes) (Taylor Code 180)"""
Running,12352,5.8,"Running downhill, 5.0 to 5.9 mph, -10% to -15%"""
Running,12405,5.3,"Running/jogging, curved treadmill, 3.0 to 3.9 mph"""
Running,12025,4.8,"Jogging, in place"""
Running,12027,4.5,"Jogging on a mini-tramp"""
Running,12026,3.3,"Jogging 2.6 to 3.7 mph"""
Sports,15528,15.5,"Race Walking, racing speed, 4.0 m/s (8.95 mph)"""
Sports,15594,15.5,"Rollerblading, in-line skating, 24.0 km/h (15.0 mph), maximal effort"""
Sports,15432,14.3,"Taekwondo, combat simulation"""
Sports,15527,13.8,"Race Walking, 3.7 m/s (8.3 mph)"""
Sports,15100,12.3,"Boxing, in ring, general"""
Sports,15550,12.3,"Rope jumping, fast pace, 120-160 skips/min"""
Sports,15593,12.3,"Roller blading, in-line skating, 21.0 to 21.7 km/h (13.0 to 13.6 mph), fast pace, exercise training"""
Sports,15320,12,"Handball, general (Taylor Code 520)"""
Sports,15420,12,"Jai alai"""
Sports,15650,12,"Squash (Taylor Code 530)"""
Sports,15551,11.8,"Rope jumping, moderate pace, general, 100 to 120 skips/min, 2 foot skip, plain bounce"""
Sports,15433,11.3,"Judo"""
Sports,15446,11.3,"Kendo, kakari keiko style, very high intensity"""
Sports,15118,10.8,"Boxing, punching bag, 180 b/min"""
Sports,15205,10.5,"Floorball"""
Sports,15536,10.5,"Rock climbing, speed climbing, very difficult"""
Sports,15538,10.5,"Rock climbing, treadwall, 4-6 m/min"""
Sports,15539,10.5,"Rock climbing, treadwall, 7-10 m/min"""
Sports,15597,10.5,"Skateboard, longboard, 18.4 km/h, fast speed"""
Sports,15430,10.3,"Martial Arts, different types, moderate pace (e.g., judo, jujitsu, karate, kick boxing, tae kwon do, tai-bo, Muay Thai boxing)"""
Sports,15525,10.3,"Race Walking, 3.1 m/s (6.9 mph)"""
Sports,15702,10.3,"Trampoline, competitive"""
Sports,15362,10,"Hockey, ice, competitive"""
Sports,15490,10,"Paddleball, competitive"""
Sports,15520,10,"Racquetball, competitive"""
Sports,15554,10,"Rope jumping, double under or more"""
Sports,15734,10,"Track and field (e.g., steeplechase, hurdles)"""
Sports,15203,9.8,"Fencing, epee, competitive"""
Sports,15592,9.8,"Roller blading, in-line skating, 17.7 km/h (11.0 mph), moderate pace, exercise training"""
Sports,15445,9.6,"Kendo, kirikaeshi style, high intensity"""
Sports,15605,9.5,"Soccer, competitive"""
Sports,15072,9.3,"Basketball, drills, practice"""
Sports,15125,9.3,"Boxing, simulated boxing round, exercise"""
Sports,15025,9,"Badminton, competitive, match play"""
Sports,15402,9,"Horseback riding, jumping"""
Sports,15480,9,"Orienteering"""
Sports,15534,8.8,"Rock climbing, free boulder"""
Sports,15115,8.5,"Boxing, punching bag, 120 b/min"""
Sports,15192,8.5,"Auto racing, open wheel"""
Sports,15552,8.3,"Rope jumping, slow pace, < 100 skips/min, 2 foot skip, rhythm bounce"""
Sports,15560,8.3,"Rugby, union, team, competitive"""
Sports,15596,8.3,"Skateboard, longboard, 16.2 km/h, typical speed"""
Sports,15040,8,"Basketball, game (Taylor Code 490)"""
Sports,15210,8,"Football, competitive"""
Sports,15230,8,"Football, touch, flag, general (Taylor Code 510)"""
Sports,15250,8,"Frisbee, ultimate"""
Sports,15330,8,"Handball, team"""
Sports,15360,8,"Hockey, ice, general"""
Sports,15460,8,"Lacrosse"""
Sports,15510,8,"Polo, on horseback"""
Sports,15533,8,"Rock or mountain climbing (Taylor Code 060), (formerly code 17120)"""
Sports,15676,8,"Tennis, general, competitive"""
Sports,15690,8,"Tennis, singles (Taylor Code 420)"""
Sports,15725,8,"Volleyball, beach, in sand"""
Sports,15120,7.8,"Boxing, sparring"""
Sports,15195,7.8,"Futsal"""
Sports,15350,7.8,"Hockey, field"""
Sports,15055,7.5,"Basketball, general"""
Sports,15591,7.5,"Roller blading, in-line skating, 14.4 km/h (9.0 mph), recreational pace"""
Sports,15395,7.3,"Horseback riding, canter or gallop"""
Sports,15457,7.3,"Kickboxing"""
Sports,15535,7.3,"Rock climbing, ascending rock, high difficulty"""
Sports,15652,7.3,"Squash, general"""
Sports,15020,7,"Badminton, competitive (Taylor Code 450)"""
Sports,15113,7,"Boxing, punching bag, 60 b/min"""
Sports,15130,7,"Broomball"""
